Indicators,4Q 2020,3Q 2020,2Q 2020,1Q 2020,4Q 2019,3Q 2019,2Q 2019,1Q 2019,4Q 2018,3Q 2018,2Q 2018,1Q 2018,4Q 2017,3Q 2017,2Q 2017,1Q 2017,4Q 2016,3Q 2016,2Q 2016,1Q 2016,4Q 2015,3Q 2015,2Q 2015,1Q 2015,4Q 2014,3Q 2014,2Q 2014,1Q 2014,4Q 2013,3Q 2013,2Q 2013,1Q 2013,4Q 2012,3Q 2012,2Q 2012,1Q 2012,4Q 2011,3Q 2011,2Q 2011,1Q 2011,4Q 2010,3Q 2010,2Q 2010,1Q 2010
Gross Domestic Product Current Quarter(100 million yuan),295618.8,264355.7,248347.7,205244.8,276798,251046.3,241502.6,217168.3,258808.9,234474.3,223962.2,202035.7,235428.7,212789.3,201950.3,181867.7,211566.2,191010.6,181408.2,162410,192572.9,176597.7,168549.7,151137.9,180828.9,165484.7,156489.6,140759.8,167772.3,152222.7,143518.7,129449.6,151812,138089.6,131320.6,117357.6,138012.1,126562.2,118895.9,104469.9,119306.8,105963.7,99347.4,87501.3
Gross Domestic Product Accumulated(100 million yuan),1013567,717948.2,453592.5,205244.8,986515.2,709717.2,458670.9,217168.3,919281.1,660472.2,425997.9,202035.7,832035.9,596607.3,383818,181867.7,746395.1,534828.9,343818.2,162410,688858.2,496285.3,319687.6,151137.9,643563.1,462734.2,297249.5,140759.8,592963.2,425190.9,272968.2,129449.6,538580,386767.9,248678.3,117357.6,487940.2,349928,223365.8,104469.9,412119.3,292812.4,186848.7,87501.3
Value-added of the Primary Industry Current Quarter(100 million yuan),29715.7,22158.1,15934.5,10222.5,27464.4,19801,14439.9,8768.3,24938.7,18226.9,13003.8,8575.7,22992.9,18255.8,12644.9,8205.9,21728.2,17542.4,12555.9,8312.7,21376.1,17173.1,11852.2,7373.2,20522.1,16854.9,11109.4,7140,19864.3,15904.9,10389.7,6869.1,18071.3,14656,9911.4,6446,16189.7,13855.6,9143.3,5592.8,14185.4,11633.8,7785.6,4826
Value-added of the Primary Industry Accumulated(100 million yuan),78030.9,48315.2,26157.1,10222.5,70473.6,43009.1,23208.2,8768.3,64745.2,39806.4,21579.5,8575.7,62099.5,39106.6,20850.8,8205.9,60139.2,38411,20868.7,8312.7,57774.6,36398.5,19225.5,7373.2,55626.3,35104.3,18249.4,7140,53028.1,33163.7,17258.8,6869.1,49084.6,31013.4,16357.3,6446,44781.5,28591.7,14736.1,5592.8,38430.8,24245.4,12611.6,4826
Value-added of the Secondary Industry Current Quarter(100 million yuan),113719.2,99897.5,97529.8,72415.9,107730.1,96420.1,95923.7,80596.7,104023.9,93112.5,91100.6,76598.2,95368,84574.1,82323,69315.5,85504.1,75400.5,73416.5,61106.8,78356.3,71526.7,70950,60505.9,77725.9,70971.1,69458.3,59127.4,74211.4,66748.7,65130.3,55861.2,68633.5,62256.2,61433.2,52316.2,64334.6,58622.5,56884,47194,55933.6,48906.4,47422.3,39364.2
Value-added of the Secondary Industry Accumulated(100 million yuan),383562.4,269843.2,169945.7,72415.9,380670.6,272940.5,176520.4,80596.7,364835.2,260811.3,167698.8,76598.2,331580.5,236212.5,151638.4,69315.5,295427.8,209923.7,134523.3,61106.8,281338.9,202982.7,131455.9,60505.9,277282.8,199556.9,128585.8,59127.4,261951.6,187740.2,120991.5,55861.2,244639.1,176005.6,113749.4,52316.2,227035.1,162700.5,104077.9,47194,191626.5,135693,86786.5,39364.2
Value-added of the Tertiary Industry Current Quarter(100 million yuan),152183.9,142300.1,134883.4,122606.3,141603.5,134825.2,131139,127803.3,129846.2,123134.9,119857.8,116861.8,117067.8,109959.5,106982.4,104346.3,104334,98067.8,95435.8,92990.5,92840.6,87897.9,85747.4,83258.8,82580.9,77658.7,75921.9,74492.4,73696.6,69569.1,67998.6,66719.3,65107.2,61177.4,59976.1,58595.5,57487.8,54084,52868.6,51683.2,49187.8,45423.5,44139.5,43311.1
Value-added of the Tertiary Industry Accumulated(100 million yuan),551973.7,399789.9,257489.7,122606.3,535371,393767.5,258942.3,127803.3,489700.8,359854.5,236719.7,116861.8,438355.9,321288.2,211328.7,104346.3,390828.1,286494.1,188426.3,92990.5,349744.7,256904.1,169006.2,83258.8,310654,228073,150414.3,74492.4,277983.5,204287,134717.9,66719.3,244856.2,179749,118571.6,58595.5,216123.6,158635.9,104551.8,51683.2,182061.9,132874,87450.6,43311.1
Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Current Quarter(100 million yuan),30915.4,23065.3,16668.1,10747.7,28583.8,20632.8,15111.7,9248.7,25929,18961.8,13662.2,9005.8,23915.8,18944.2,13204.2,8595.8,22577.8,18162.2,13045.5,8665.5,22130.4,17739.2,12296.2,7686.8,21172.1,17371,11500.6,7428.5,20447.1,16367,10748.2,7130.2,18587.1,15070.2,10238.5,6685.4,16653.8,14219.6,9440.9,5808.3,14596.6,11957,8044.6,5020.8
Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Accumulated(100 million yuan),81396.5,50481.1,27415.8,10747.7,73576.9,44993.2,24360.4,9248.7,67558.7,41629.8,22668,9005.8,64660,40744.2,21800,8595.8,62451,39873.2,21711,8665.5,59852.6,37722.2,19983,7686.8,57472.2,36300.1,18929.1,7428.5,54692.4,34245.4,17878.4,7130.2,50581.2,31994.1,16923.9,6685.4,46122.6,29468.8,15249.2,5808.3,39619,25022.4,13065.4,5020.8
