DATE,GDP
1/1/2010,14764.61
4/1/2010,14980.193
7/1/2010,15141.607
10/1/2010,15309.474
1/1/2011,15351.448
4/1/2011,15557.539
7/1/2011,15647.68
10/1/2011,15842.259
1/1/2012,16068.805
4/1/2012,16207.115
7/1/2012,16319.541
10/1/2012,16420.419
1/1/2013,16648.189
4/1/2013,16728.687
7/1/2013,16953.838
10/1/2013,17192.019
1/1/2014,17197.738
4/1/2014,17518.508
7/1/2014,17804.228
10/1/2014,17912.079
1/1/2015,18063.529
4/1/2015,18279.784
7/1/2015,18401.626
10/1/2015,18435.137
1/1/2016,18525.933
4/1/2016,18711.702
7/1/2016,18892.639
10/1/2016,19089.379
1/1/2017,19280.084
4/1/2017,19438.643
7/1/2017,19692.595
10/1/2017,20037.088
1/1/2018,20328.553
4/1/2018,20580.912
7/1/2018,20798.73
10/1/2018,20917.867
1/1/2019,21104.133
4/1/2019,21384.775
7/1/2019,21694.282
10/1/2019,21902.39
1/1/2020,21706.513
