DATE,RSXFS
2010-01-01,308346
2010-02-01,308435
2010-03-01,315771
2010-04-01,318646
2010-05-01,315356
2010-06-01,314806
2010-07-01,315589
2010-08-01,317171
2010-09-01,319912
2010-10-01,324078
2010-11-01,327340
2010-12-01,329684
2011-01-01,332082
2011-02-01,334619
2011-03-01,337859
2011-04-01,339671
2011-05-01,339090
2011-06-01,341601
2011-07-01,341366
2011-08-01,341964
2011-09-01,345545
2011-10-01,347682
2011-11-01,348930
2011-12-01,349671
2012-01-01,352554
2012-02-01,357205
2012-03-01,358614
2012-04-01,356588
2012-05-01,355793
2012-06-01,352088
2012-07-01,353723
2012-08-01,358452
2012-09-01,361166
2012-10-01,361714
2012-11-01,362746
2012-12-01,364220
2013-01-01,366868
2013-02-01,372191
2013-03-01,369051
2013-04-01,367123
2013-05-01,369516
2013-06-01,370732
2013-07-01,373185
2013-08-01,372208
2013-09-01,372330
2013-10-01,373275
2013-11-01,373691
2013-12-01,376564
2014-01-01,373103
2014-02-01,378327
2014-03-01,382202
2014-04-01,386409
2014-05-01,386717
2014-06-01,387738
2014-07-01,387978
2014-08-01,391224
2014-09-01,389504
2014-10-01,390417
2014-11-01,391348
2014-12-01,388028
2015-01-01,385289
2015-02-01,384685
2015-03-01,390850
2015-04-01,391130
2015-05-01,394366
2015-06-01,394743
2015-07-01,398028
2015-08-01,397782
2015-09-01,395641
2015-10-01,394266
2015-11-01,395960
2015-12-01,396826
2016-01-01,394486
2016-02-01,397676
2016-03-01,396630
2016-04-01,398199
2016-05-01,399711
2016-06-01,404475
2016-07-01,403827
2016-08-01,403731
2016-09-01,406064
2016-10-01,407120
2016-11-01,405929
2016-12-01,412576
2017-01-01,415749
2017-02-01,415552
2017-03-01,414836
2017-04-01,416541
2017-05-01,414102
2017-06-01,416293
2017-07-01,416373
2017-08-01,416888
2017-09-01,426198
2017-10-01,426725
2017-11-01,430931
2017-12-01,433537
2018-01-01,431045
2018-02-01,433754
2018-03-01,432891
2018-04-01,434832
2018-05-01,439781
2018-06-01,437530
2018-07-01,440111
2018-08-01,439439
2018-09-01,438709
2018-10-01,443560
2018-11-01,445484
2018-12-01,435285
2019-01-01,438377
2019-02-01,438830
2019-03-01,446084
2019-04-01,445957
2019-05-01,448869
2019-06-01,448856
2019-07-01,452442
2019-08-01,455725
2019-09-01,451994
2019-10-01,453140
2019-11-01,456656
2019-12-01,457669
2020-01-01,456334
2020-02-01,456676
2020-03-01,429854
2020-04-01,376992
2020-05-01,444746
2020-06-01,474621
2020-07-01,480461
2020-08-01,483280
2020-09-01,492411
2020-10-01,490482
2020-11-01,487824
2020-12-01,496423
